Ticker,Period,Strategy,Total_Return,Market_Return,Vs_Market,Up_Day_Rate,Max_Drawdown,Sharpe_Ratio,Final_Value,Score
SO,train,Buy & Hold,53.59,53.69,-0.11,54.18,-38.43,0.391,15358.63,0.4874
SO,train,SMA Crossover,18.27,53.69,-35.43,34.66,-27.89,0.208,11826.58,0.3569
SO,train,EMA Crossover,10.45,53.69,-43.25,35.27,-29.59,0.126,11044.65,0.2951
SO,train,SMA + RSI,3.44,53.69,-50.25,28.22,-25.27,0.037,10344.37,0.2496
SO,train,Bollinger Bands,-4.59,53.69,-58.29,2.4,-16.82,-0.191,9540.64,0.1449
SO,train,Logistic Regression,38.04,37.38,0.66,35.55,-23.88,0.691,13803.62,0.6499
SO,train,Random Forest,28.7,37.38,-8.67,27.62,-26.1,0.479,12870.2,0.5186
SO,test,Buy & Hold,97.6,96.41,1.18,51.68,-23.28,0.558,19759.59,0.7044
SO,test,SMA Crossover,20.91,96.41,-75.5,28.95,-24.27,0.082,12090.88,0.31
SO,test,EMA Crossover,-0.09,96.41,-96.5,34.15,-31.32,-0.13,9991.41,0.1409
SO,test,SMA + RSI,-2.93,96.41,-99.34,23.55,-26.45,-0.247,9706.92,0.0913
SO,test,Bollinger Bands,-2.02,96.41,-98.43,2.87,-15.49,-0.691,9797.85,-0.096
SO,test,Logistic Regression,54.75,86.2,-31.46,40.53,-17.66,0.371,15474.65,0.542
SO,test,Random Forest,20.37,86.2,-65.83,34.82,-21.77,0.076,12036.92,0.3134
DUK,train,Buy & Hold,41.11,40.42,0.69,53.56,-37.37,0.336,14111.0,0.4381
DUK,train,SMA Crossover,2.51,40.42,-37.91,31.3,-21.94,0.044,10251.26,0.2612
DUK,train,EMA Crossover,-8.61,40.42,-49.04,32.74,-32.53,-0.104,9138.74,0.1332
DUK,train,SMA + RSI,-27.01,40.42,-67.44,25.21,-34.64,-0.431,7298.91,-0.0734
DUK,train,Bollinger Bands,5.24,40.42,-35.18,2.74,-11.75,0.034,10524.17,0.2922
DUK,train,Logistic Regression,31.07,23.57,7.49,43.77,-29.86,0.475,13106.5,0.5101
DUK,train,Random Forest,34.98,23.57,11.4,37.39,-16.75,0.539,13497.54,0.5892
DUK,test,Buy & Hold,69.82,69.72,0.1,53.32,-24.16,0.428,16981.88,0.5812
DUK,test,SMA Crossover,-1.44,69.72,-71.16,29.98,-28.62,-0.196,9855.86,0.1133
DUK,test,EMA Crossover,-10.38,69.72,-80.1,34.15,-36.32,-0.295,8961.98,0.0228
DUK,test,SMA + RSI,-10.09,69.72,-79.8,25.67,-31.44,-0.354,8991.44,0.0085
DUK,test,Bollinger Bands,-9.42,69.72,-79.14,2.94,-16.81,-1.024,9058.34,-0.2813
DUK,test,Logistic Regression,52.68,60.7,-8.02,48.33,-21.04,0.342,15268.26,0.5132
DUK,test,Random Forest,-12.11,60.7,-72.81,39.21,-30.81,-0.292,8789.02,0.0373
AEP,train,Buy & Hold,82.29,82.23,0.06,55.55,-32.91,0.545,18228.56,0.6384
AEP,train,SMA Crossover,23.7,82.23,-58.53,34.38,-26.5,0.267,12370.2,0.4014
AEP,train,EMA Crossover,19.95,82.23,-62.28,38.56,-26.87,0.226,11995.23,0.3723
AEP,train,SMA + RSI,39.26,82.23,-42.97,28.84,-22.56,0.453,13925.65,0.5373
AEP,train,Bollinger Bands,-9.91,82.23,-92.13,2.74,-17.23,-0.305,9009.38,0.076
AEP,train,Logistic Regression,9.76,36.08,-26.32,42.92,-24.0,0.194,10975.8,0.3445
AEP,train,Random Forest,-8.93,36.08,-45.01,39.8,-33.49,-0.116,9107.12,0.1237
AEP,test,Buy & Hold,71.98,71.55,0.43,52.57,-29.56,0.416,17197.88,0.5633
AEP,test,SMA Crossover,-6.4,71.55,-77.96,29.09,-36.5,-0.228,9359.72,0.0637
AEP,test,EMA Crossover,11.39,71.55,-60.17,32.17,-27.53,-0.005,11138.75,0.2377
AEP,test,SMA + RSI,-19.65,71.55,-91.2,23.89,-34.4,-0.481,8035.27,-0.083
AEP,test,Bollinger Bands,-8.89,71.55,-80.44,4.38,-16.94,-0.795,9111.31,-0.1661
AEP,test,Logistic Regression,143.91,81.91,62.0,43.25,-23.31,0.816,24391.0,0.9259
AEP,test,Random Forest,68.48,81.91,-13.43,39.14,-21.4,0.479,16848.33,0.6123
ED,train,Buy & Hold,50.74,50.59,0.15,55.07,-30.91,0.387,15074.27,0.5023
ED,train,SMA Crossover,4.64,50.59,-45.95,30.82,-23.75,0.05,10464.12,0.263
ED,train,EMA Crossover,13.31,50.59,-37.28,33.77,-24.4,0.16,11331.17,0.3334
ED,train,SMA + RSI,5.34,50.59,-45.25,25.55,-21.37,0.053,10534.07,0.2731
ED,train,Bollinger Bands,1.53,50.59,-49.06,2.67,-13.61,-0.072,10153.29,0.2262
ED,train,Logistic Regression,18.07,5.2,12.87,46.74,-22.81,0.306,11806.57,0.4207
