Combo,A,B,Ticker,Set,Sharpe,Return,MaxDD,BH_Sharpe,BH_Return,Beat_BH,Pct_Days_Long
sma_cross + ema_cross,sma_cross,ema_cross,SO,discovery,-0.108,4.8,-27.61,0.515,86.48,False,55.8
sma_cross + ema_cross,sma_cross,ema_cross,DUK,confirmation,-0.374,-12.46,-29.95,0.384,61.14,False,54.4
sma_cross + ema_cross,sma_cross,ema_cross,AEP,discovery,-0.056,8.34,-28.0,0.468,81.2,False,54.4
sma_cross + ema_cross,sma_cross,ema_cross,ED,confirmation,-0.129,3.0,-28.2,0.417,68.61,False,53.5
sma_cross + ema_cross,sma_cross,ema_cross,XEL,discovery,-0.325,-11.63,-29.57,0.231,38.97,False,51.9
sma_cross + ema_cross,sma_cross,ema_cross,KHC,confirmation,-0.403,-19.27,-42.96,-0.109,-9.46,False,39.7
sma_cross + ema_cross,sma_cross,ema_cross,GIS,discovery,-0.174,0.06,-26.47,-0.212,-19.57,True,39.6
sma_cross + ema_cross,sma_cross,ema_cross,CAG,confirmation,-0.668,-34.41,-41.97,-0.415,-41.87,False,34.9
sma_cross + ema_cross,sma_cross,ema_cross,CPB,discovery,-0.605,-32.17,-38.0,-0.391,-41.88,False,36.1
sma_cross + ema_cross,sma_cross,ema_cross,SJM,confirmation,-0.012,9.36,-19.76,0.153,24.69,False,47.8
sma_cross + ema_cross,sma_cross,ema_cross,T,discovery,0.135,25.08,-32.27,0.348,63.12,False,55.8
sma_cross + ema_cross,sma_cross,ema_cross,VZ,confirmation,-0.675,-31.67,-36.27,0.062,13.18,False,39.7
sma_cross + ema_cross,sma_cross,ema_cross,BMY,confirmation,0.005,12.67,-31.74,0.159,26.34,False,43.7
sma_cross + ema_cross,sma_cross,ema_cross,PFE,discovery,-0.341,-18.81,-49.35,-0.014,-1.62,False,40.8
sma_cross + ema_cross,sma_cross,ema_cross,CVS,confirmation,-0.005,6.22,-39.72,0.362,71.02,False,49.4
sma_cross + ema_cross,sma_cross,ema_cross,VTRS,discovery,0.011,2.71,-52.96,0.176,20.88,False,49.4
sma_cross + ema_cross,sma_cross,ema_cross,MMM,confirmation,0.032,12.24,-40.29,0.28,49.88,False,48.1
sma_cross + ema_cross,sma_cross,ema_cross,EMR,discovery,-0.228,-14.58,-40.17,0.562,130.7,False,53.7
sma_cross + ema_cross,sma_cross,ema_cross,DOV,confirmation,0.083,19.86,-21.06,0.404,77.31,False,55.2
sma_cross + ema_cross,sma_cross,ema_cross,OKE,discovery,0.82,188.94,-31.84,0.808,253.62,True,64.3
sma_cross + ema_cross,sma_cross,ema_cross,DOW,confirmation,0.407,45.93,-22.63,-0.185,-26.56,True,39.0
sma_cross + ema_cross,sma_cross,ema_cross,LYB,discovery,0.15,25.44,-37.41,0.084,3.0,True,44.4
sma_cross + ema_cross,sma_cross,ema_cross,MOS,confirmation,-0.007,-7.67,-69.78,0.18,10.56,False,39.9
sma_cross + ema_cross,sma_cross,ema_cross,NEM,discovery,0.473,101.92,-32.91,0.519,141.69,False,49.8
sma_cross + ema_cross,sma_cross,ema_cross,O,confirmation,-0.44,-19.45,-30.05,0.238,39.48,False,55.7
sma_cross + ema_cross,sma_cross,ema_cross,VTR,discovery,0.135,25.29,-32.19,0.555,121.72,False,56.8
sma_cross + ema_cross,sma_cross,ema_cross,KIM,confirmation,0.336,55.11,-36.63,0.49,104.27,False,60.7
sma_cross + ema_cross,sma_cross,ema_cross,BXP,discovery,0.111,21.42,-31.28,-0.003,-11.71,True,43.0
sma_cross + ema_cross,sma_cross,ema_cross,HST,confirmation,-0.247,-25.2,-51.2,0.449,100.27,False,60.7
sma_cross + ema_cross,sma_cross,ema_cross,F,discovery,-0.084,-16.68,-67.9,0.455,112.89,False,53.1
sma_cross + ema_cross,sma_cross,ema_cross,LEG,confirmation,-0.921,-64.29,-68.23,-0.418,-72.68,False,29.8
sma_cross + ema_cross,sma_cross,ema_cross,INTC,discovery,0.114,3.32,-70.59,0.495,140.96,False,41.9
sma_cross + above_sma20,sma_cross,above_sma20,SO,discovery,0.327,41.52,-9.87,0.515,86.48,False,38.4
sma_cross + above_sma20,sma_cross,above_sma20,DUK,confirmation,-0.41,-7.8,-15.37,0.384,61.14,False,34.9
sma_cross + above_sma20,sma_cross,above_sma20,AEP,discovery,-0.207,2.01,-23.5,0.468,81.2,False,35.8
sma_cross + above_sma20,sma_cross,above_sma20,ED,confirmation,0.031,17.86,-15.38,0.417,68.61,False,37.2
sma_cross + above_sma20,sma_cross,above_sma20,XEL,discovery,-0.439,-13.43,-24.0,0.231,38.97,False,36.1
sma_cross + above_sma20,sma_cross,above_sma20,KHC,confirmation,-0.273,-4.86,-30.32,-0.109,-9.46,False,28.6
sma_cross + above_sma20,sma_cross,above_sma20,GIS,discovery,-0.68,-25.94,-35.77,-0.212,-19.57,False,29.1
sma_cross + above_sma20,sma_cross,above_sma20,CAG,confirmation,-0.647,-23.77,-36.67,-0.415,-41.87,False,25.8
sma_cross + above_sma20,sma_cross,above_sma20,CPB,discovery,-0.877,-42.28,-45.83,-0.391,-41.88,False,26.7
sma_cross + above_sma20,sma_cross,above_sma20,SJM,confirmation,-0.26,-9.48,-23.78,0.153,24.69,False,34.2
sma_cross + above_sma20,sma_cross,above_sma20,T,discovery,-0.265,-11.41,-29.28,0.348,63.12,False,39.3
sma_cross + above_sma20,sma_cross,above_sma20,VZ,confirmation,-0.717,-27.24,-37.78,0.062,13.18,False,26.3
sma_cross + above_sma20,sma_cross,above_sma20,PARA,discovery,-1.82,-33.78,-33.78,-1.495,-100.0,False,1.7
sma_cross + above_sma20,sma_cross,above_sma20,BMY,confirmation,-0.111,4.85,-27.48,0.159,26.34,False,31.3
sma_cross + above_sma20,sma_cross,above_sma20,PFE,discovery,-0.292,-9.61,-42.4,-0.014,-1.62,False,25.2
sma_cross + above_sma20,sma_cross,above_sma20,CVS,confirmation,-0.103,-1.9,-41.91,0.362,71.02,False,33.8
sma_cross + above_sma20,sma_cross,above_sma20,VTRS,discovery,0.067,17.59,-34.7,0.176,20.88,False,35.0
sma_cross + above_sma20,sma_cross,above_sma20,MMM,confirmation,-0.071,4.89,-28.55,0.28,49.88,False,36.1
sma_cross + above_sma20,sma_cross,above_sma20,EMR,discovery,-0.404,-18.08,-30.66,0.562,130.7,False,37.4
sma_cross + above_sma20,sma_cross,above_sma20,DOV,confirmation,-0.079,7.69,-20.34,0.404,77.31,False,36.1
sma_cross + above_sma20,sma_cross,above_sma20,OKE,discovery,0.153,27.54,-36.64,0.808,253.62,False,45.2
sma_cross + above_sma20,sma_cross,above_sma20,DOW,confirmation,0.029,13.5,-25.02,-0.185,-26.56,True,26.4
sma_cross + above_sma20,sma_cross,above_sma20,LYB,discovery,-0.176,-11.82,-47.47,0.084,3.0,False,33.3
