Ticker,Model,WindowEnd,RSI_Trigger,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Legacy_Sharpe,Legacy_Delta,Base_Return,New_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held,Legacy_Days_Held
NVDA,LR,2024-01-01,0,0.08,1.129,1.371,0.242,1.326,0.197,430.27,970.58,-54.02,-57.77,-3.75,527,823
NVDA,LR,2024-01-01,0,0.12,1.129,1.492,0.363,1.326,0.197,430.27,1526.8,-54.02,-59.53,-5.51,689,842
NVDA,LR,2024-01-01,0,0.15,1.129,1.537,0.408,1.326,0.197,430.27,1784.04,-54.02,-59.53,-5.51,790,855
NVDA,LR,2024-01-01,0,0.2,1.129,1.494,0.365,1.326,0.197,430.27,1756.67,-54.02,-61.57,-7.55,836,891
NVDA,LR,2024-01-01,50,0.08,1.129,1.154,0.025,1.305,0.176,430.27,557.08,-54.02,-57.77,-3.75,423,546
NVDA,LR,2024-01-01,50,0.12,1.129,1.358,0.229,1.312,0.183,430.27,1033.67,-54.02,-57.87,-3.85,592,601
NVDA,LR,2024-01-01,50,0.15,1.129,1.564,0.435,1.472,0.343,430.27,1883.34,-54.02,-59.53,-5.51,755,758
NVDA,LR,2024-01-01,50,0.2,1.129,1.487,0.358,1.487,0.358,430.27,1721.0,-54.02,-61.57,-7.55,827,827
NVDA,LR,2024-01-01,55,0.08,1.129,1.177,0.048,1.024,-0.105,430.27,540.38,-54.02,-57.77,-3.75,292,298
NVDA,LR,2024-01-01,55,0.12,1.129,1.102,-0.027,0.971,-0.158,430.27,463.86,-54.02,-57.87,-3.85,342,346
NVDA,LR,2024-01-01,55,0.15,1.129,1.293,0.164,1.192,0.063,430.27,775.56,-54.02,-59.53,-5.51,454,457
NVDA,LR,2024-01-01,55,0.2,1.129,1.144,0.015,1.144,0.015,430.27,610.18,-54.02,-61.57,-7.55,599,599
NVDA,LR,2024-01-01,60,0.08,1.129,1.176,0.047,1.024,-0.105,430.27,537.73,-54.02,-57.77,-3.75,286,298
NVDA,LR,2024-01-01,60,0.12,1.129,1.101,-0.028,0.971,-0.158,430.27,461.52,-54.02,-57.87,-3.85,336,346
NVDA,LR,2024-01-01,60,0.15,1.129,1.292,0.163,1.292,0.163,430.27,771.93,-54.02,-59.53,-5.51,445,445
NVDA,LR,2024-01-01,60,0.2,1.129,1.144,0.015,1.144,0.015,430.27,610.18,-54.02,-61.57,-7.55,599,599
NVDA,LR,2024-01-01,65,0.08,1.129,1.183,0.054,1.164,0.035,430.27,544.79,-54.02,-57.77,-3.75,239,241
NVDA,LR,2024-01-01,65,0.12,1.129,1.108,-0.021,1.108,-0.021,430.27,467.74,-54.02,-57.87,-3.85,289,289
NVDA,LR,2024-01-01,65,0.15,1.129,1.299,0.17,1.299,0.17,430.27,781.58,-54.02,-59.53,-5.51,398,398
NVDA,LR,2024-01-01,65,0.2,1.129,1.151,0.022,1.151,0.022,430.27,618.04,-54.02,-61.57,-7.55,552,552
NVDA,RF,2024-01-01,0,0.08,1.077,1.33,0.253,1.326,0.249,372.96,1049.54,-59.59,-72.81,-13.22,850,983
NVDA,RF,2024-01-01,0,0.12,1.077,1.333,0.256,1.326,0.249,372.96,1089.28,-59.59,-67.76,-8.17,900,999
NVDA,RF,2024-01-01,0,0.15,1.077,1.31,0.233,1.326,0.249,372.96,1039.59,-59.59,-69.02,-9.43,924,1022
NVDA,RF,2024-01-01,0,0.2,1.077,1.276,0.199,1.326,0.249,372.96,961.16,-59.59,-71.97,-12.38,971,1062
NVDA,RF,2024-01-01,50,0.08,1.077,1.274,0.197,1.276,0.199,372.96,868.87,-59.59,-67.87,-8.28,719,726
NVDA,RF,2024-01-01,50,0.12,1.077,1.205,0.128,1.205,0.128,372.96,758.52,-59.59,-67.9,-8.31,793,793
NVDA,RF,2024-01-01,50,0.15,1.077,1.26,0.183,1.26,0.183,372.96,874.48,-59.59,-69.03,-9.44,859,859
NVDA,RF,2024-01-01,50,0.2,1.077,1.229,0.152,1.229,0.152,372.96,821.79,-59.59,-73.54,-13.95,922,922
NVDA,RF,2024-01-01,55,0.08,1.077,1.301,0.224,1.275,0.198,372.96,911.65,-59.59,-67.87,-8.28,607,612
NVDA,RF,2024-01-01,55,0.12,1.077,1.326,0.249,1.326,0.249,372.96,995.48,-59.59,-63.95,-4.36,686,686
