Ticker,Model,WindowEnd,Arm,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Base_Return,New_Return,Delta_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held
NVDA,LR,2024-01-01,buy_and_hold,,1.129,1.326,0.197,430.27,1174.61,744.34,-54.02,-66.34,-12.32,1108
NVDA,LR,2024-01-01,trail_only,0.08,1.129,1.079,-0.05,430.27,468.87,38.6,-54.02,-66.01,-11.99,819
NVDA,LR,2024-01-01,trail_only,0.12,1.129,1.389,0.26,430.27,1206.17,775.9,-54.02,-61.88,-7.86,969
NVDA,LR,2024-01-01,trail_only,0.15,1.129,1.333,0.204,430.27,1080.15,649.88,-54.02,-68.69,-14.67,1060
NVDA,LR,2024-01-01,trail_only,0.2,1.129,1.41,0.281,430.27,1369.22,938.95,-54.02,-60.66,-6.64,1094
NVDA,RF,2024-01-01,buy_and_hold,,1.077,1.326,0.249,372.96,1174.61,801.65,-59.59,-66.34,-6.75,1108
NVDA,RF,2024-01-01,trail_only,0.08,1.077,1.159,0.082,372.96,649.34,276.38,-59.59,-80.27,-20.68,1009
NVDA,RF,2024-01-01,trail_only,0.12,1.077,1.123,0.046,372.96,634.04,261.08,-59.59,-74.4,-14.81,1047
NVDA,RF,2024-01-01,trail_only,0.15,1.077,1.171,0.094,372.96,731.53,358.57,-59.59,-71.99,-12.4,1074
NVDA,RF,2024-01-01,trail_only,0.2,1.077,1.29,0.213,372.96,979.38,606.42,-59.59,-70.58,-10.99,1076
NVDA,LR,2023-01-01,buy_and_hold,,0.939,0.932,-0.007,243.55,306.73,63.18,-57.72,-66.34,-8.62,983
NVDA,LR,2023-01-01,trail_only,0.08,0.939,1.224,0.285,243.55,535.48,291.93,-57.72,-56.29,1.43,885
NVDA,LR,2023-01-01,trail_only,0.12,0.939,1.054,0.115,243.55,397.21,153.66,-57.72,-61.85,-4.13,929
NVDA,LR,2023-01-01,trail_only,0.15,0.939,0.933,-0.006,243.55,291.81,48.26,-57.72,-69.34,-11.62,956
NVDA,LR,2023-01-01,trail_only,0.2,0.939,1.024,0.085,243.55,372.24,128.69,-57.72,-60.19,-2.47,965
NVDA,RF,2023-01-01,buy_and_hold,,0.624,0.932,0.308,95.41,306.73,211.32,-59.37,-66.34,-6.97,983
NVDA,RF,2023-01-01,trail_only,0.08,0.624,0.986,0.362,95.41,316.01,220.6,-59.37,-71.79,-12.42,900
NVDA,RF,2023-01-01,trail_only,0.12,0.624,0.855,0.231,95.41,234.68,139.27,-59.37,-72.42,-13.05,926
NVDA,RF,2023-01-01,trail_only,0.15,0.624,0.779,0.155,95.41,189.84,94.43,-59.37,-71.99,-12.62,950
NVDA,RF,2023-01-01,trail_only,0.2,0.624,0.891,0.267,95.41,262.25,166.84,-59.37,-68.98,-9.61,954
NVDA,LR,2022-01-01,buy_and_hold,,0.767,1.125,0.358,112.03,357.38,245.35,-60.34,-56.04,4.3,857
